Audit_Time,Audit_Action,time_segment_key,myemployee_key,time_date,Company,Work,Work_Category,Job,Start_Time,End_Time,Duration,Break_Duration,Approved,is_deleted,myPay_Key,Time_Requires_Approval,Week_Starts_On,Pay_Period_Start,Pay_Period_End,Pay_Frequency,Pay_Created_Date,periodic_date, periodic_time, time_dif
2012-08-15 10:27:18.600, Add, 676220, 13024, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
2012-08-15 10:28:02.883, Change, 676220, 13024, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
2012-08-15 10:25:39.803, Add, 676216, 13024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
2012-08-15 10:31:02.413, Change, 676223, 13066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 266
2012-08-15 10:28:25.147, Change, 676220, 13024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 488
2012-08-15 10:29:29.240, Add, 676221, 13024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 430
2012-08-26 15:26:36.307, Add, 685606, 12988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34
2012-09-10 20:56:59.903, Add, 710590, 12988, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 43
2012-09-10 20:59:33.787, Add, 710619, 13024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2835
2012-09-10 20:57:42.847, Change, 710590, 12988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2713
2012-10-30 11:34:07.397, Add, 793830, 13049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177
2012-10-30 11:33:19.800, Add, 793829, 13049, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 481
2012-10-30 11:40:24.900, Add, 793895, 13066, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 77
2012-10-30 13:23:30.880, Add, 794486, 13077, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
2012-10-30 11:41:20.153, Change, 793829, 13049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1342
2012-10-30 11:42:30.297, Add, 793901, 13066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1272
2012-10-30 11:40:50.690, Add, 793897, 13066, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1372
2012-10-30 11:42:01.317, Add, 793900, 13066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1301
2012-10-30 11:41:41.120, Change, 793895, 13066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1321
2012-10-30 11:43:32.140, Add, 793904, 13079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1210
2012-10-30 11:43:06.257, Add, 793903, 13079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1236
2012-10-30 13:22:35.190, Add, 794483, 12989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1027
2012-10-30 13:26:03.910, Add, 794496, 13077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 819
2012-10-30 13:25:35.873, Add, 794494, 13077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 847
2012-10-30 13:25:01.870, Add, 794492, 13077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 881
2012-10-30 13:24:30.340, Add, 794491, 13077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 912
2012-10-30 13:24:04.760, Add, 794488, 13077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 938
2012-10-30 13:23:40.660, Change, 794486, 13077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 962
2012-10-30 13:29:05.020, Add, 794513, 13088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 637
2012-10-30 13:28:35.503, Add, 794509, 13088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 667
2012-10-30 13:27:59.907, Add, 794506, 13088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 703
2012-10-30 13:27:36.663, Add, 794504, 13088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 726
2012-10-30 13:26:42.550, Add, 794500, 13088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 780
2012-10-30 13:32:39.310, Add, 794524, 13090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 423
2012-10-30 13:32:20.690, Add, 794521, 13090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 442
2012-10-30 13:31:48.943, Add, 794520, 13090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 474
2012-10-30 13:31:11.013, Add, 794518, 13090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 511
2012-10-30 13:30:35.587, Add, 794517, 13090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 547
2012-10-30 13:29:55.310, Add, 794516, 13090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 587
2012-10-30 13:39:42.560, Change, 794524, 13090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 552
