time_segment_key, Start_Time_date, Start_Time_time, Duration, Approved, myPay_Key, Pay_Created_Date
  1039656, 2.0, 8.5,   7.50000,   0,   0,   NULL
  1039657, 6.0, 8.5,   7.50000,   0,   0,   NULL
  1039658, 3.0, 8.5,   7.50000,   0,   0,   NULL
  1039660, 4.0, 8.5,   7.50000,   0,   0,   NULL
  1039661, 5.0, 8.5,   7.50000,   0,   0,   NULL
  1039661, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1039660, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1039657, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1039658, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1039656, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1039657, 6.0, 8.5,   7.50000,   0,   0,   NULL
  1039661, 5.0, 8.5,   7.50000,   0,   0,   NULL
  1039660, 4.0, 8.5,   7.50000,   0,   0,   NULL
  1039658, 3.0, 8.5,   7.50000,   0,   0,   NULL
  1039656, 2.0, 8.5,   7.50000,   0,   0,   NULL
  1039661, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1039660, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1039657, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1039658, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1039656, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1039657, 6.0, 8.5,   7.50000,   0,   0,   NULL
  1039661, 5.0, 8.5,   7.50000,   0,   0,   NULL
  1039660, 4.0, 8.5,   7.50000,   0,   0,   NULL
  1039658, 3.0, 8.5,   7.50000,   0,   0,   NULL
  1039656, 2.0, 8.5,   7.50000,   0,   0,   NULL
  1039661, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1039660, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1039657, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1039658, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1039656, 2.0, 8.5,   7.50000,   1,   0,   NULL
  1039661, 5.0, 8.5,   7.50000,   1,   0,   NULL
  1039660, 4.0, 8.5,   7.50000,   1,   0,   NULL
  1039657, 6.0, 8.5,   7.50000,   1,   0,   NULL
  1039658, 3.0, 8.5,   7.50000,   1,   0,   NULL
  1039656, 2.0, 8.5,   7.50000,   1,   0,   NULL
