time_segment_key, Start_Time_date, Start_Time_time, Duration, Approved, myPay_Key, Pay_Created_Date
  4044118, 5.0, 8.5,   3.50000,   0,   0,   NULL
  4044109, 2.0, 8.0,   8.00000,   0,   0,   NULL
  4044125, 3.0, 14.5,   1.75000,   0,   0,   NULL
  4044118, 3.0, 8.5,   3.50000,   0,   0,   NULL
  4052329, 5.0, 8.0,   7.75000,   0,   0,   NULL
  4052333, 6.0, 8.0,   7.75000,   0,   0,   NULL
  4074302, 3.0, 7.75,   7.50000,   0,   0,   NULL
  4074302, 3.0, 7.75,   8.00000,   0,   0,   NULL
  4084108, 4.0, 8.0,   7.75000,   0,   0,   NULL
  4097138, 5.0, 8.25,   7.75000,   0,   0,   NULL
  4117363, 2.0, 8.0,   7.50000,   0,   0,   NULL
  4097138, 5.0, 8.25,   7.75000,   1,   0,   NULL
  4084108, 4.0, 8.0,   7.75000,   1,   0,   NULL
  4074302, 3.0, 7.75,   8.00000,   1,   0,   NULL
  4126166, 3.0, 8.0,   7.50000,   0,   0,   NULL
  4044109, 2.0, 8.0,   8.00000,   0,   0,   NULL
  4052333, 6.0, 8.0,   7.75000,   1,   0,   NULL
  4052329, 5.0, 8.0,   7.75000,   1,   0,   NULL
  4044125, 3.0, 14.5,   1.75000,   1,   0,   NULL
  4044118, 3.0, 8.5,   3.50000,   1,   0,   NULL
  4135077, 4.0, 8.0,   7.50000,   0,   0,   NULL
  4097138, 5.0, 8.25,   7.75000,   1,   0,   NULL
  4084108, 4.0, 8.0,   7.75000,   1,   0,   NULL
  4074302, 3.0, 7.75,   8.00000,   1,   0,   NULL
  4052333, 6.0, 8.0,   7.75000,   1,   0,   NULL
  4052329, 5.0, 8.0,   7.75000,   1,   0,   NULL
  4044125, 3.0, 14.5,   1.75000,   1,   0,   NULL
  4044118, 3.0, 8.5,   3.50000,   1,   0,   NULL
  4097138, 5.0, 8.25,   7.75000,   1,   0,   NULL
  4084108, 4.0, 8.0,   7.75000,   1,   0,   NULL
  4074302, 3.0, 7.75,   8.00000,   1,   0,   NULL
  4052333, 6.0, 8.0,   7.75000,   1,   0,   NULL
  4052329, 5.0, 8.0,   7.75000,   1,   0,   NULL
  4044125, 3.0, 14.5,   1.75000,   1,   0,   NULL
  4044118, 3.0, 8.5,   3.50000,   1,   0,   NULL
  4141665, 5.0, 8.0,   7.50000,   0,   0,   NULL
  4097138, 5.0, 8.25,   7.75000,   1,   274568,   2015-08-06 17:02:31
  4084108, 4.0, 8.0,   7.75000,   1,   274568,   2015-08-06 17:02:31
  4074302, 3.0, 7.75,   8.00000,   1,   274568,   2015-08-06 17:02:31
  4052333, 6.0, 8.0,   7.75000,   1,   274568,   2015-08-06 17:02:31
  4052329, 5.0, 8.0,   7.75000,   1,   274568,   2015-08-06 17:02:31
  4044125, 3.0, 14.5,   1.75000,   1,   274568,   2015-08-06 17:02:31
  4044118, 3.0, 8.5,   3.50000,   1,   274568,   2015-08-06 17:02:31
  4171184, 6.0, 13.0,   2.00000,   0,   0,   NULL
  4171172, 6.0, 8.0,   4.00000,   0,   0,   NULL
  4171192, 3.0, 9.25,   6.75000,   0,   0,   NULL
  4171184, 6.0, 13.0,   2.00000,   1,   0,   NULL
  4171172, 6.0, 8.0,   4.00000,   1,   0,   NULL
  4141665, 5.0, 8.0,   7.50000,   1,   0,   NULL
  4135077, 4.0, 8.0,   7.50000,   1,   0,   NULL
  4126166, 3.0, 8.0,   7.50000,   1,   0,   NULL
  4117363, 2.0, 8.0,   7.50000,   1,   0,   NULL
  4193957, 6.0, 8.25,   7.50000,   0,   0,   NULL
  4193954, 5.0, 8.25,   7.75000,   0,   0,   NULL
  4209662, 2.0, 8.25,   7.50000,   0,   0,   NULL
  4193957, 6.0, 8.25,   7.50000,   1,   0,   NULL
  4193954, 5.0, 8.25,   7.75000,   1,   0,   NULL
  4171192, 3.0, 9.25,   6.75000,   1,   0,   NULL
  4254604, 5.0, 8.5,   7.25000,   0,   0,   NULL
  4254588, 3.0, 8.5,   7.75000,   0,   0,   NULL
  4254617, 6.0, 8.5,   7.75000,   0,   0,   NULL
  4254636, 2.0, 8.0,   8.00000,   0,   0,   NULL
  4254617, 6.0, 8.5,   7.75000,   1,   0,   NULL
  4254604, 5.0, 8.5,   7.25000,   1,   0,   NULL
  4254588, 3.0, 8.5,   7.75000,   1,   0,   NULL
  4209662, 2.0, 8.25,   7.50000,   1,   0,   NULL
  4300547, 5.0, 8.25,   8.75000,   0,   0,   NULL
  4300555, 6.0, 8.25,   5.25000,   0,   0,   NULL
  4300540, 3.0, 8.25,   8.00000,   0,   0,   NULL
  4300555, 6.0, 8.25,   5.25000,   1,   0,   NULL
  4300547, 5.0, 8.25,   8.75000,   1,   0,   NULL
  4300540, 3.0, 8.25,   8.00000,   1,   0,   NULL
  4254636, 2.0, 8.0,   8.00000,   1,   0,   NULL
  4300555, 6.0, 8.25,   5.25000,   1,   0,   NULL
  4300547, 5.0, 8.25,   8.75000,   1,   0,   NULL
  4300540, 3.0, 8.25,   8.00000,   1,   0,   NULL
  4254636, 2.0, 8.0,   8.00000,   1,   0,   NULL
  4254617, 6.0, 8.5,   7.75000,   1,   0,   NULL
  4254604, 5.0, 8.5,   7.25000,   1,   0,   NULL
  4254588, 3.0, 8.5,   7.75000,   1,   0,   NULL
  4209662, 2.0, 8.25,   7.50000,   1,   0,   NULL
  4193957, 6.0, 8.25,   7.50000,   1,   0,   NULL
  4193954, 5.0, 8.25,   7.75000,   1,   0,   NULL
  4171192, 3.0, 9.25,   6.75000,   1,   0,   NULL
  4171184, 6.0, 13.0,   2.00000,   1,   0,   NULL
  4171172, 6.0, 8.0,   4.00000,   1,   0,   NULL
  4141665, 5.0, 8.0,   7.50000,   1,   0,   NULL
  4135077, 4.0, 8.0,   7.50000,   1,   0,   NULL
  4126166, 3.0, 8.0,   7.50000,   1,   0,   NULL
  4117363, 2.0, 8.0,   7.50000,   1,   0,   NULL
  4300555, 6.0, 8.25,   5.25000,   1,   0,   NULL
  4300547, 5.0, 8.25,   8.75000,   1,   0,   NULL
  4300540, 3.0, 8.25,   8.00000,   1,   0,   NULL
  4254636, 2.0, 8.0,   8.00000,   1,   0,   NULL
  4254617, 6.0, 8.5,   7.75000,   1,   0,   NULL
  4254604, 5.0, 8.5,   7.25000,   1,   0,   NULL
  4254588, 3.0, 8.5,   7.75000,   1,   0,   NULL
  4209662, 2.0, 8.25,   7.50000,   1,   0,   NULL
  4193957, 6.0, 8.25,   7.50000,   1,   0,   NULL
  4193954, 5.0, 8.25,   7.75000,   1,   0,   NULL
  4171192, 3.0, 9.25,   6.75000,   1,   0,   NULL
  4171184, 6.0, 13.0,   2.00000,   1,   0,   NULL
  4171172, 6.0, 8.0,   4.00000,   1,   0,   NULL
  4141665, 5.0, 8.0,   7.50000,   1,   0,   NULL
  4135077, 4.0, 8.0,   7.50000,   1,   0,   NULL
  4126166, 3.0, 8.0,   7.50000,   1,   0,   NULL
  4117363, 2.0, 8.0,   7.50000,   1,   0,   NULL
  4300555, 6.0, 8.25,   5.25000,   1,   283149,   2015-09-01 19:30:43
  4300547, 5.0, 8.25,   8.75000,   1,   283149,   2015-09-01 19:30:43
  4300540, 3.0, 8.25,   8.00000,   1,   283149,   2015-09-01 19:30:43
  4254636, 2.0, 8.0,   8.00000,   1,   283149,   2015-09-01 19:30:43
  4254617, 6.0, 8.5,   7.75000,   1,   283149,   2015-09-01 19:30:43
  4254604, 5.0, 8.5,   7.25000,   1,   283149,   2015-09-01 19:30:43
