Audit_Action,time_segment_key,myemployee_key,Duration,start_day,start_time
Change,491909,66,8.83333,1.0,0.9238795
Change,491602,66,8.00000,0.0,0.9238795
Add,492511,4838,0.03333,0.0,0.9914449
Add,492512,4838,4.00000,0.0,0.0
Change,456170,4834,10.00000,0.8660254,0.9238795
Add,492513,4838,0.03333,0.0,0.9914449
Add,492514,4834,2.00000,1.0,0.9914449
Add,492515,4838,4.00000,0.0,0.0
Change,492515,4838,4.00000,0.0,0.0
Change,492512,4838,4.00000,0.0,0.0
Change,492511,4838,0.03333,0.0,0.9914449
Change,492513,4838,0.03333,0.0,0.9914449
Change,491920,8641,9.50000,0.5,0.9238795
Change,490599,10418,8.75000,0.0,0.98078525
Change,490598,10418,8.75000,0.5,0.98078525
Change,490597,10418,8.75000,0.8660254,0.98078525
Change,490596,10418,8.75000,0.5,0.98078525
Change,490595,10418,8.75000,1.0,0.98078525
Change,490244,10418,8.75000,1.0,0.98078525
Change,490243,10418,8.75000,0.0,0.98078525
Change,490242,10418,8.75000,1.0,0.98078525
Change,490241,10418,8.75000,0.5,0.98078525
Change,490240,10418,8.75000,0.5,0.98078525
Change,489874,10418,8.75000,0.5,0.98078525
Change,489873,10418,8.75000,1.2246469E-16,0.98078525
Change,489872,10418,8.75000,0.8660254,0.98078525
Change,489871,10418,8.75000,0.5,0.98078525
Change,489870,10418,8.75000,0.0,0.98078525
Change,489529,10418,8.75000,0.5,0.98078525
Change,489528,10418,8.75000,0.8660254,0.98078525
Change,487760,10418,8.75000,0.8660254,0.98078525
Change,487759,10418,8.75000,1.2246469E-16,0.98078525
Change,487758,10418,8.75000,1.0,0.98078525
Change,485635,10418,8.75000,0.8660254,0.98078525
Change,485634,10418,8.75000,0.8660254,0.98078525
Change,485633,10418,8.75000,1.2246469E-16,0.98078525
Change,485632,10418,8.75000,0.8660254,0.98078525
Change,485631,10418,8.75000,0.5,0.98078525
Change,485223,10418,8.75000,1.0,0.98078525
Change,484975,10418,8.75000,0.0,0.98078525
Change,484974,10418,8.75000,0.8660254,0.98078525
Change,484973,10418,8.75000,0.8660254,0.98078525
Change,484972,10418,8.75000,1.2246469E-16,0.98078525
Change,483779,10418,8.75000,0.5,0.98078525
Change,483778,10418,8.75000,0.8660254,0.98078525
Change,483777,10418,8.75000,0.5,0.98078525
Change,483737,10418,8.75000,0.8660254,0.98078525
Change,483736,10418,8.75000,0.0,0.98078525
Change,483180,10418,8.75000,1.2246469E-16,0.98078525
Add,492519,8052,8.50000,0.5,0.9238795
Add,492521,4456,12.75000,0.5,0.98078525
Change,492130,9050,3.00000,0.0,0.9238795
Add,492522,8871,2.50000,0.0,0.9469301
Add,492523,8623,2.50000,0.5,0.9238795
Add,492541,8774,7.50000,1.2246469E-16,0.98078525
Add,492542,8774,7.50000,0.8660254,0.98078525
Add,492543,8774,7.50000,0.8660254,0.98078525
Add,492544,8774,7.50000,0.0,0.98078525
Add,492545,8774,7.50000,1.0,0.98078525
Add,492516,8784,9.00000,0.5,0.9238795
Add,492517,8784,9.50000,0.5,0.9238795
Add,492518,4545,14.00000,0.5,0.9659258
Add,492520,2422,8.50000,0.5,0.9238795
Add,492524,8872,7.00000,0.8660254,0.9238795
Change,328447,6748,11.50000,0.8660254,0.9659258
Change,328447,6748,11.00000,0.8660254,0.9659258
Change,334922,6748,4.50000,1.2246469E-16,0.7933533
Change,335875,6748,5.50000,0.8660254,0.7933533
Change,335875,6748,12.00000,0.8660254,0.99785894
Change,336969,6748,11.00000,0.8660254,0.99785894
Change,336969,6748,12.00000,0.8660254,0.99785894
Change,337700,6748,6.00000,0.0,0.7933533
Change,338533,6748,6.00000,1.0,0.7933533
Change,338533,6748,12.50000,1.0,0.99785894
Change,333453,6748,6.00000,0.5,0.7933533
Add,492525,8872,7.00000,1.2246469E-16,0.9238795
Change,492525,8872,12.00000,1.2246469E-16,0.9659258
Change,492525,8872,12.00000,0.8660254,0.9659258
Add,492526,8872,12.00000,1.2246469E-16,0.9659258
Change,492525,8872,12.00000,0.0,0.9659258
Change,492525,8872,11.50000,0.0,0.99785894
Change,492525,8872,7.50000,0.0,0.99785894
Change,492525,8872,7.50000,1.0,0.9238795
Add,492527,8872,7.50000,0.0,0.99785894
Change,492525,8872,8.00000,1.0,0.9238795
Change,492527,8872,7.50000,0.5,0.99785894
Add,492528,8872,7.50000,0.0,0.99785894
Change,492527,8872,9.50000,0.5,0.99785894
Change,331015,6779,4.50000,0.8660254,0.7933533
Add,492529,6779,5.50000,0.8660254,0.7933533
Add,492530,6779,5.50000,0.8660254,0.7933533
Change,331837,6779,3.50000,0.0,0.70710677
Change,331837,6779,4.50000,0.0,0.70710677
Change,332605,6779,6.00000,1.0,0.7933533
Change,333471,6779,5.50000,0.5,0.7933533
Change,333471,6779,6.00000,0.5,0.7933533
Add,492531,7925,7.50000,0.8660254,1.0
Add,492532,7925,5.00000,1.2246469E-16,0.7933533
Add,492533,7925,5.00000,0.0,0.70710677
Add,492534,8894,7.00000,0.8660254,0.7933533
Add,492535,8894,9.00000,0.8660254,0.9914449
Add,492536,8894,5.00000,0.8660254,0.7933533
Add,492537,8894,5.50000,0.0,0.7933533
Add,492538,10845,1.75000,0.5,0.9238795
Add,492539,8894,6.00000,1.0,0.7933533
Add,492540,8894,5.50000,0.5,0.7933533
Change,345176,6791,8.00000,1.2246469E-16,1.0
Change,346098,6791,8.00000,0.8660254,1.0
Change,347676,6791,8.50000,0.0,1.0
Change,348592,6791,9.00000,1.0,1.0
Change,348991,6791,8.50000,0.5,1.0
Change,492527,8872,9.50000,0.5,0.99785894
Change,492525,8872,8.00000,1.0,0.9238795
Change,492528,8872,7.50000,0.0,0.99785894
