 Senior Communications Advisor, 11896
 Business Analyst, 8277
 Project Manager, 7332
 Project Manager - PO: 6500081765, 5639
 Princial Advisor  Regional Partner, 5158
 Project Manager - PO:  6500081765, 4572
 Financial Accountant, 4073
 Media Advisor, 4052
 Project Coordinator, 3872
 Bay of Plenty Region Case Manager - PO: 1-5530-2016-9999, 3614
 Property Contract Role - WBS 87324753 , 3530
 Policy Analyst - PO:1-5221-2014-0811, 3526
 Senior Business Analyst - PO: 2057309, 3203
 Financial Analyst - PO: PN103726, 3190
 Infographic Designer - Cost Code: 50041, 3122
 Senior Project Manager, 2930
 Senior Communications Advisor - CC: 5210, 2896
 Change Manager - PO: 4700407678, 2729
 Senior Business Analyst - CC 70 2146 3164, 2697
 PMO Analyst, 2659
 Senior Web Writer - PO: 802501, 2644
 Senior Advisor PO: 4500149816, 2590
 Case Manager Classroom Delivery Rc Code: 1-5410-2015-0811, 2585
 Senior Project Manager - CC: 404, 2542
 Stakeholder Engagement Advisor, 2526
 Product Manager - PO: 4500113902, 2522
 Project Manager - PO: 1-5521-2016-9999, 2474
 Regulatory Assurance - WBS 6087 - Senior Project Manager , 2440
 Senior Communications Consultant - PO 1759113, 2407
 Office of Ethnic Communities - PO: 7700015223, 2238
 Senior Advisor Facilities & Business Services, 2235
 Senior Business Analyst, 2206
 Senior Communications Advisor - Internal PO: 843003, 2131
 Technical Writer / Business Analyst - PO: PN103277, 2128
 Senior Strategy Advisor, 2117
 Project Manager - PO: CC 1-5520-2013-9999, 2094
 Business Analyst - PO: 6500081765, 2071
 Senior Communications Advisor - PO: 6500081765, 2044
 Shipping Add Ons Project Management 92053-001 PO: 2053775, 2044
 Data Analyst - PO: 843001, 2021
 Infographic Designer - Cost Code: 10006, 1988
 Assistant Financial Controller, 1973
 Senior Procurement Specialist - PO: 1819259, 1946
 Marketing Advisor - PO: 6500081765, 1932
 Senior Policy Analyst, 1923
 Business Analyst - DM, 1906
 Principal Advisor - Learning and Development	, 1866
